asin,afntotalquantity,subsource,sellerSku,AfnListingExists
"B099S9KP1Z","18","Transter AMA MX","US-S925-WHI-EAR-STUD-SWA-006-266-FBA","1"
"B099S9PSXN","22","Transter AMA MX","US-S925-WHI-EAR-STUD-SWA-006-296-FBA","1"
"B09J5H66LH","20","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-AQU-FBA","1"
"B09J5GPZC5","14","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-ARI-FBA","1"
"B09J5GG193","18","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-CAN-FBA","1"
"B09J5GWWBG","17","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-CAP-FBA","1"
"B09J5T2J41","18","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-GEM-FBA","1"
"B09J5J8H6Y","18","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-LEO-FBA","1"
"B09J5JHY8Y","19","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-LIB-FBA","1"
"B09J5J23HH","19","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-PIS-FBA","1"
"B09J5GX7TF","21","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-SAG-FBA","1"
"B09J5GTMTZ","17","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-SCO-FBA","1"
"B09J5G9MV3","16","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-TAU-FBA","1"
"B09J5GT8LJ","21","Transter AMA MX","US-S925-WHI-EAR-STUD-ZOD-001-VIR-FBA","1"
"B08LW3T1NG","25","Transter AMA MX","US-S925-WHI-NEC-CHA-024-047-450-FBA","1"
"B08LW3RVMX","20","Transter AMA MX","US-S925-WHI-NEC-CHA-024-047-500-FBA","1"
"B08LW4GWKZ","4","Transter AMA MX","US-S925-WHI-NEC-CHA-024-055-500-FBA","1"
"B08LW5ZY2C","2","Transter AMA MX","US-S925-WHI-NEC-CHA-024-055-550-FBA","1"
"B08LW65TPH","13","Transter AMA MX","US-S925-WHI-NEC-CHA-024-079-500-FBA","1"
"B08LW3Y5D4","10","Transter AMA MX","US-S925-WHI-NEC-CHA-024-079-550-FBA","1"
"B08LW53JQ3","12","Transter AMA MX","US-S925-WHI-NEC-CHA-025-047-450-FBA","1"
"B08LW4NW2K","12","Transter AMA MX","US-S925-WHI-NEC-CHA-025-047-500-FBA","1"
"B08LW5BJ84","10","Transter AMA MX","US-S925-WHI-NEC-CHA-025-055-500-FBA","1"
"B08LW67L49","9","Transter AMA MX","US-S925-WHI-NEC-CHA-025-055-550-FBA","1"
"B08LW4JTPS","12","Transter AMA MX","US-S925-WHI-NEC-CHA-025-077-500-FBA","1"
"B08LW4B9ZY","13","Transter AMA MX","US-S925-WHI-NEC-CHA-025-077-550-FBA","1"
"B08MFPJZGP","9","Transter AMA MX","US-S925-WHI-PEN-CROS-001-FBA","1"
"B08MFPMK65","9","Transter AMA MX","US-S925-WHI-PEN-CROS-002-FBA","1"
"B08C35SP74","10","Transter AMA MX","US-S925-WHI-RIN-CEL-006-O-FBA","1"
"B08R41X17V","2","Transter AMA MX","US-S925-WHI-RIN-CEL-006-P-FBA","1"
"B08C348HVN","9","Transter AMA MX","US-S925-WHI-RIN-CEL-006-Q-FBA","1"
"B08R42GF7S","5","Transter AMA MX","US-S925-WHI-RIN-CEL-006-R-FBA","1"
"B08R424WXD","14","Transter AMA MX","US-S925-WHI-RIN-CEL-006-S-FBA","1"
"B08R3W4FT3","5","Transter AMA MX","US-S925-WHI-RIN-GEM-001-I-FBA","1"
"B08C32SND1","9","Transter AMA MX","US-S925-WHI-RIN-GEM-001-J-FBA","1"
"B08R3ZN3TN","3","Transter AMA MX","US-S925-WHI-RIN-GEM-001-K-FBA","1"
"B08C34MCWL","3","Transter AMA MX","US-S925-WHI-RIN-GEM-001-L-FBA","1"
"B08C34P7W7","7","Transter AMA MX","US-S925-WHI-RIN-GEM-001-M-FBA","1"
"B08C33X17L","5","Transter AMA MX","US-S925-WHI-RIN-GEM-001-N-FBA","1"
"B08C3661GY","6","Transter AMA MX","US-S925-WHI-RIN-GEM-001-O-FBA","1"
"B08R41LNFD","7","Transter AMA MX","US-S925-WHI-RIN-GEM-001-P-FBA","1"
"B08C343PST","11","Transter AMA MX","US-S925-WHI-RIN-GEM-001-Q-FBA","1"
"B08R3ZVD3F","2","Transter AMA MX","US-S925-WHI-RIN-GEM-001-R-FBA","1"
"B08R42FXDB","10","Transter AMA MX","US-S925-WHI-RIN-GEM-001-S-FBA","1"
"B08C34DY3Z","11","Transter AMA MX","US-S925-WHI-RIN-TOE-005-FBA","1"
"B08KRSQX81","7","Transter AMA MX","US-S925-YEL-BRA-CHA-004-200-FBA","1"
"B091V3CDL4","5","Transter AMA MX","US-S925-YEL-BRA-CHA-020-200-FBA","1"
"B08ZSVZLK9","13","Transter AMA MX","US-S925-YEL-EAR-STUD-PERL-001-6to7-FBA","1"
"B08ZSTPC2F","8","Transter AMA MX","US-S925-YEL-EAR-STUD-PERL-001-7to8-FBA","1"
"B08ZSTH9H3","11","Transter AMA MX","US-S925-YEL-EAR-STUD-PERL-001-9to10-FBA","1"
"B07RZRK41J","133","Transter AMA MX","US-GS-S925-CHAIN-EXT-001-FBA","1"
"B08LGY5RXS","0","Transter AMA MX","US-S925-BAW-NEC-CHA-016-045-450-FBA","0"
"B08LGY5RXS","0","Transter AMA MX","US-S925-BAW-NEC-CHA-016-045-450-FBA2","1"
"B09V1FLR9R","0","Transter AMA MX","US-S925-YEL-NEC-CHA-027-028-500-FBA","1"
"B09V1FP8TW","5","Transter AMA MX","US-S925-YEL-NEC-CHA-027-055-410-FBA","1"
"B09V1G2K3S","5","Transter AMA MX","US-S925-YEL-NEC-CHA-027-055-450-FBA","1"
"B09V1F7DZ3","5","Transter AMA MX","US-S925-YEL-NEC-CHA-027-055-500-FBA","1"
"B09V1DFGDS","5","Transter AMA MX","US-S925-YEL-NEC-CHA-027-079-410-FBA","1"
"B09V1FCNV4","5","Transter AMA MX","US-S925-YEL-NEC-CHA-027-079-450-FBA","1"
"B09V1GGZBQ","5","Transter AMA MX","US-S925-YEL-NEC-CHA-027-079-500-FBA","1"
"B09V1H5ZXB","5","Transter AMA MX","US-S925-YEL-NEC-CHA-028-030-410-FBA","1"
"B09V1FD1WX","5","Transter AMA MX","US-S925-YEL-NEC-CHA-028-030-450-FBA","1"
"B09V1DSXZQ","5","Transter AMA MX","US-S925-YEL-NEC-CHA-028-030-500-FBA","1"
"B09V1FQDDL","5","Transter AMA MX","US-S925-YEL-NEC-CHA-028-045-410-FBA","1"
